event,event_name,position,athelete,country,mark
3000 Metres Steeplechase men,IAAF World Championships London 2017,1,Conseslus Kipruto,KEN,8:14.12
3000 Metres Steeplechase men,IAAF World Championships London 2017,2,Soufiane El Bakkali,MAR,8:14.49
3000 Metres Steeplechase men,IAAF World Championships London 2017,3,Evan Jager,USA,8:15.53
3000 Metres Steeplechase men,IAAF World Championships London 2017,4,Mahiedine Mekhissi,FRA,8:15.80
3000 Metres Steeplechase men,IAAF World Championships London 2017,5,Stanley Kipkoech Kebenei,USA,8:21.09
3000 Metres Steeplechase men,IAAF World Championships London 2017,6,Matthew Hughes,CAN,8:21.84  SB
3000 Metres Steeplechase men,IAAF World Championships London 2017,7,Tesfaye Deriba,ETH,8:22.12
3000 Metres Steeplechase men,IAAF World Championships London 2017,8,Tafese Seboka,ETH,8:23.02
3000 Metres Steeplechase men,IAAF World Championships London 2017,9,Getnet Wale,ETH,8:25.28
3000 Metres Steeplechase men,IAAF World Championships London 2017,10,Albert Chemutai,UGA,8:25.94
3000 Metres Steeplechase men,IAAF World Championships London 2017,11,Ezekiel Kemboi,KEN,8:29.38
3000 Metres Steeplechase men,IAAF World Championships London 2017,12,Jairus Kipchoge Birech,KEN,8:32.90
3000 Metres Steeplechase men,IAAF World Championships London 2017,13,Yoann Kowal,FRA,8:34.53
3000 Metres Steeplechase men,IAAF World Championships London 2017,14,Jacob Araptany,UGA,8:49.18
