event,event_name,position,athelete,country,mark
Shot Put women,11th IAAF World Championships in Athletics,1,Valerie Adams,NZL,20.54
Shot Put women,11th IAAF World Championships in Athletics,2,Nadine Kleinert,GER,19.77
Shot Put women,11th IAAF World Championships in Athletics,3,Ling Li,CHN,19.38
Shot Put women,11th IAAF World Championships in Athletics,4,Petra Lammert,GER,19.33
Shot Put women,11th IAAF World Championships in Athletics,5,Meiju Li,CHN,18.83
Shot Put women,11th IAAF World Championships in Athletics,6,Lijiao Gong,CHN,18.66
Shot Put women,11th IAAF World Championships in Athletics,7,Chiara Rosa,ITA,18.39
Shot Put women,11th IAAF World Championships in Athletics,8,Anna Omarova,RUS,18.20
Shot Put women,11th IAAF World Championships in Athletics,9,Yanina Pravalinskay-Karolchyk,BLR,18.17
Shot Put women,11th IAAF World Championships in Athletics,10,Misleydis González,CUB,18.14
Shot Put women,11th IAAF World Championships in Athletics,11,Yumileidi Cumbá,CUB,17.93
