event,event_name,position,athelete,country,mark
50 Kilometres Race Walk men,8th IAAF World Championships,1,Robert Korzeniowski,POL,3:42:08   WL
50 Kilometres Race Walk men,8th IAAF World Championships,2,Jesús Ángel GARCÍA,ESP,3:43:07   SB
50 Kilometres Race Walk men,8th IAAF World Championships,3,Edgar Hernández,MEX,3:46:12   PB
50 Kilometres Race Walk men,8th IAAF World Championships,4,Aigars Fadejevs,LAT,3:46:20
50 Kilometres Race Walk men,8th IAAF World Championships,5,Vladimir Potemin,RUS,3:46:53
50 Kilometres Race Walk men,8th IAAF World Championships,6,Valentín Massana,ESP,3:48:28
50 Kilometres Race Walk men,8th IAAF World Championships,7,Curt Clausen,USA,3:50:46   SB
50 Kilometres Race Walk men,8th IAAF World Championships,8,Marco Giungi,ITA,3:51:09   SB
50 Kilometres Race Walk men,8th IAAF World Championships,9,Tomasz Lipiec,POL,3:53:06
50 Kilometres Race Walk men,8th IAAF World Championships,10,Mike Trautmann,GER,3:53:25
50 Kilometres Race Walk men,8th IAAF World Championships,11,Denis Langlois,FRA,3:53:42
50 Kilometres Race Walk men,8th IAAF World Championships,12,David Boulanger,FRA,3:53:52
50 Kilometres Race Walk men,8th IAAF World Championships,13,Francesco Galdenzi,ITA,3:54:42
50 Kilometres Race Walk men,8th IAAF World Championships,14,Phillip Dunn,USA,3:56:33   PB
50 Kilometres Race Walk men,8th IAAF World Championships,15,Mikel Odriozola,ESP,3:57:17
50 Kilometres Race Walk men,8th IAAF World Championships,16,Spirídon Kastánis,GRE,3:57:35   SB
50 Kilometres Race Walk men,8th IAAF World Championships,17,Yoshimi Hara,JPN,3:58:47
50 Kilometres Race Walk men,8th IAAF World Championships,18,Miloš Holuša,CZE,3:58:54
50 Kilometres Race Walk men,8th IAAF World Championships,19,Tim Berrett,CAN,3:59:34
50 Kilometres Race Walk men,8th IAAF World Championships,20,Sergey Korepanov,KAZ,3:59:57   SB
50 Kilometres Race Walk men,8th IAAF World Championships,21,Aleksandar Rakovic,SCG,4:01:50
50 Kilometres Race Walk men,8th IAAF World Championships,22,Jacob Sørensen,DEN,4:03:21
50 Kilometres Race Walk men,8th IAAF World Championships,23,Štefan Malík,SVK,4:04:50
50 Kilometres Race Walk men,8th IAAF World Championships,24,Miguel Ángel Rodríguez,MEX,4:06:45
50 Kilometres Race Walk men,8th IAAF World Championships,25,Jorge Costa,POR,4:07:48
50 Kilometres Race Walk men,8th IAAF World Championships,26,Fredrik Svensson,SWE,4:08:35
50 Kilometres Race Walk men,8th IAAF World Championships,27,René Piller,FRA,4:10:54
50 Kilometres Race Walk men,8th IAAF World Championships,28,Jamie Costin,IRL,4:11:58
50 Kilometres Race Walk men,8th IAAF World Championships,29,Fumio Imamura,JPN,4:12:28
50 Kilometres Race Walk men,8th IAAF World Championships,30,Ugis Bruvelis,LAT,4:22:02
50 Kilometres Race Walk men,8th IAAF World Championships,31,Arturo Huerta,CAN,4:25:07
