event,event_name,position,athelete,country,mark
3000 Metres Steeplechase women,"World Athletics Championships, Oregon 2022",1,Norah JERUTO,KAZ,8:53.02  CR
3000 Metres Steeplechase women,"World Athletics Championships, Oregon 2022",2,Werkuha GETACHEW,ETH,8:54.61  NR
3000 Metres Steeplechase women,"World Athletics Championships, Oregon 2022",3,Mekides ABEBE,ETH,8:56.08  PB
3000 Metres Steeplechase women,"World Athletics Championships, Oregon 2022",4,Winfred Mutile YAVI,BRN,9:01.31
3000 Metres Steeplechase women,"World Athletics Championships, Oregon 2022",5,Luiza GEGA,ALB,9:10.04  NR
3000 Metres Steeplechase women,"World Athletics Championships, Oregon 2022",6,Courtney FRERICHS,USA,9:10.59  SB
3000 Metres Steeplechase women,"World Athletics Championships, Oregon 2022",7,Aimee PRATT,GBR,9:15.64  NR
3000 Metres Steeplechase women,"World Athletics Championships, Oregon 2022",8,Emma COBURN,USA,9:16.49
3000 Metres Steeplechase women,"World Athletics Championships, Oregon 2022",9,Marwa BOUZAYANI,TUN,9:20.92
3000 Metres Steeplechase women,"World Athletics Championships, Oregon 2022",10,Alice FINOT,FRA,9:21.40
3000 Metres Steeplechase women,"World Athletics Championships, Oregon 2022",11,Peruth CHEMUTAI,UGA,9:21.93
3000 Metres Steeplechase women,"World Athletics Championships, Oregon 2022",12,Courtney WAYMENT,USA,9:22.37
3000 Metres Steeplechase women,"World Athletics Championships, Oregon 2022",13,Celliphine Chepteek CHESPOL,KEN,9:27.34
3000 Metres Steeplechase women,"World Athletics Championships, Oregon 2022",14,Maruša MIŠMAŠ ZRIMŠEK,SLO,9:40.78
3000 Metres Steeplechase women,"World Athletics Championships, Oregon 2022",15,Gesa Felicitas KRAUSE,GER,9:52.66
