event,event_name,position,athelete,country,mark
Triple Jump men,11th IAAF World Championships in Athletics,1,Nelson Évora,POR,17.74
Triple Jump men,11th IAAF World Championships in Athletics,2,Jadel Gregório,BRA,17.59
Triple Jump men,11th IAAF World Championships in Athletics,3,Walter Davis,USA,17.33
Triple Jump men,11th IAAF World Championships in Athletics,4,Osniel Tosca,CUB,17.32
Triple Jump men,11th IAAF World Championships in Athletics,5,Aarik Wilson,USA,17.31
Triple Jump men,11th IAAF World Championships in Athletics,6,Phillips Idowu,GBR,17.09
Triple Jump men,11th IAAF World Championships in Athletics,7,Arnie David Girat,CUB,16.91
Triple Jump men,11th IAAF World Championships in Athletics,8,Alexander Martínez,SUI,16.85
Triple Jump men,11th IAAF World Championships in Athletics,9,Deokhyeon Kim,KOR,16.71
Triple Jump men,11th IAAF World Championships in Athletics,10,Aleksandr Petrenko,RUS,16.66
Triple Jump men,11th IAAF World Championships in Athletics,11,Minwei Zhong,CHN,16.66
Triple Jump men,11th IAAF World Championships in Athletics,12,Dimítrios Tsiámis,GRE,16.59
