event,event_name,position,athelete,country,mark
Discus Throw women,1st IAAF World Championships in Athletics,1,Martina Hellmann,GDR,68.94
Discus Throw women,1st IAAF World Championships in Athletics,2,Galina Murashova,URS,67.44
Discus Throw women,1st IAAF World Championships in Athletics,3,Maria Vergova-Petkova,BUL,66.44
Discus Throw women,1st IAAF World Championships in Athletics,4,Tsvetanka Khristova,BUL,65.62
Discus Throw women,1st IAAF World Championships in Athletics,5,Gisela Beyer,GDR,65.26
Discus Throw women,1st IAAF World Championships in Athletics,6,Zdenka Šilhavá,TCH,64.32
Discus Throw women,1st IAAF World Championships in Athletics,7,Ria Stalman,NED,63.76
Discus Throw women,1st IAAF World Championships in Athletics,8,Meg Ritchie,GBR,62.50
Discus Throw women,1st IAAF World Championships in Athletics,9,Florenta Craciunescu,ROU,62.14
Discus Throw women,1st IAAF World Championships in Athletics,10,Svetla Mitkova-Sinirtas,BUL,62.06
Discus Throw women,1st IAAF World Championships in Athletics,11,Galina Savinkova,URS,59.28
Discus Throw women,1st IAAF World Championships in Athletics,12,Maria Badea,ROU,58.10
