event,event_name,position,athelete,country,mark
1500 Metres women,"World Athletics Championships, Oregon 2022",1,Faith KIPYEGON,KEN,3:52.96
1500 Metres women,"World Athletics Championships, Oregon 2022",2,Gudaf TSEGAY,ETH,3:54.52
1500 Metres women,"World Athletics Championships, Oregon 2022",3,Laura MUIR,GBR,3:55.28  SB
1500 Metres women,"World Athletics Championships, Oregon 2022",4,Freweyni HAILU,ETH,4:01.28
1500 Metres women,"World Athletics Championships, Oregon 2022",5,Sofia ENNAOUI,POL,4:01.43  SB
1500 Metres women,"World Athletics Championships, Oregon 2022",6,Sinclaire JOHNSON,USA,4:01.63
1500 Metres women,"World Athletics Championships, Oregon 2022",7,Jessica HULL,AUS,4:01.82
1500 Metres women,"World Athletics Championships, Oregon 2022",8,Winnie NANYONDO,UGA,4:01.98
1500 Metres women,"World Athletics Championships, Oregon 2022",9,Georgia GRIFFITH,AUS,4:03.26
1500 Metres women,"World Athletics Championships, Oregon 2022",10,Cory Ann MCGEE,USA,4:03.70
1500 Metres women,"World Athletics Championships, Oregon 2022",11,Marta PÉREZ,ESP,4:04.25
1500 Metres women,"World Athletics Championships, Oregon 2022",12,Hirut MESHESHA,ETH,4:05.86
1500 Metres women,"World Athletics Championships, Oregon 2022",13,Winny CHEBET,KEN,4:15.13
