event,event_name,position,athelete,country,mark
High Jump women,15th IAAF World Championships,1,Mariya LASITSKENE,RUS,2.01
High Jump women,15th IAAF World Championships,2,Blanka Vlašic,CRO,2.01
High Jump women,15th IAAF World Championships,3,Anna CHICHEROVA,RUS,2.01
High Jump women,15th IAAF World Championships,4,Kamila LIĆWINKO,POL,1.99
High Jump women,15th IAAF World Championships,5,Ruth Beitia,ESP,1.99
High Jump women,15th IAAF World Championships,6,Marie-Laurence JUNGFLEISCH,GER,1.99
High Jump women,15th IAAF World Championships,7,Jeannelle SCHEPER,LCA,1.92
High Jump women,15th IAAF World Championships,8,Eleanor PATTERSON,AUS,1.92
High Jump women,15th IAAF World Championships,9,Svetlana RADZIVIL,UZB,1.88
High Jump women,15th IAAF World Championships,9,Ana ŠIMIĆ,CRO,1.88
High Jump women,15th IAAF World Championships,9,Mirela DEMIREVA,BUL,1.88
High Jump women,15th IAAF World Championships,12,Doreen Amata,NGR,1.88
High Jump women,15th IAAF World Championships,12,Levern SPENCER,LCA,1.88
