event,event_name,position,athelete,country,mark
Long Jump men,5th IAAF World Championships in Athletics,1,Iván Pedroso,CUB,8.70
Long Jump men,5th IAAF World Championships in Athletics,2,James Beckford,JAM,8.30
Long Jump men,5th IAAF World Championships in Athletics,3,Mike Powell,USA,8.29
Long Jump men,5th IAAF World Championships in Athletics,4,Georg Ackermann,GER,8.14
Long Jump men,5th IAAF World Championships in Athletics,5,Bogdan Tudor,ROU,8.01
Long Jump men,5th IAAF World Championships in Athletics,6,Konstadínos Koukodímos,GRE,8.00
Long Jump men,5th IAAF World Championships in Athletics,7,Geng Huang,CHN,7.94
Long Jump men,5th IAAF World Championships in Athletics,8,Ivaylo Mladenov,BUL,7.93
Long Jump men,5th IAAF World Championships in Athletics,9,Andrey Ignatov,RUS,7.93
Long Jump men,5th IAAF World Championships in Athletics,10,Franck Zio,BUR,7.87
Long Jump men,5th IAAF World Championships in Athletics,11,Robert Emmiyan,ARM,7.77
Long Jump men,5th IAAF World Championships in Athletics,12,Nobuharu Asahara,JPN,7.77
Long Jump men,5th IAAF World Championships in Athletics,13,Galin Georgiev,BUL,7.72
Long Jump men,5th IAAF World Championships in Athletics,14,Kareem Streete-Thompson,USA,7.43
