event,event_name,position,athelete,country,mark
200 Metres men,4th IAAF World Championships in Athletics,1,Frank Fredericks,NAM,19.85  AR
200 Metres men,4th IAAF World Championships in Athletics,2,John Regis,GBR,19.94
200 Metres men,4th IAAF World Championships in Athletics,3,Carl Lewis,USA,19.99
200 Metres men,4th IAAF World Championships in Athletics,4,Michael Marsh,USA,20.18
200 Metres men,4th IAAF World Championships in Athletics,5,Dean Capobianco,AUS,20.18
200 Metres men,4th IAAF World Championships in Athletics,6,Jean-Charles Trouabal,FRA,20.20
200 Metres men,4th IAAF World Championships in Athletics,7,Emmanuel Tuffour,GHA,20.49
200 Metres men,4th IAAF World Championships in Athletics,8,Damien Marsh,AUS,20.56
