event,event_name,position,athelete,country,mark
Hammer Throw men,6th IAAF World Championships In Athletics,1,Heinz Weis,GER,81.78
Hammer Throw men,6th IAAF World Championships In Athletics,2,Andriy Skvaruk,UKR,81.46
Hammer Throw men,6th IAAF World Championships In Athletics,3,Vasiliy Sidorenko,RUS,80.76
Hammer Throw men,6th IAAF World Championships In Athletics,4,Balázs Kiss,HUN,79.96
Hammer Throw men,6th IAAF World Championships In Athletics,5,Igor Astapkovich,BLR,79.70
Hammer Throw men,6th IAAF World Championships In Athletics,6,Ilya Konovalov,RUS,78.68
Hammer Throw men,6th IAAF World Championships In Athletics,7,Vadim Khersontsev,RUS,77.42
Hammer Throw men,6th IAAF World Championships In Athletics,8,Oleksandr Krykun,UKR,77.14
Hammer Throw men,6th IAAF World Championships In Athletics,9,Karsten Kobs,GER,76.12
Hammer Throw men,6th IAAF World Championships In Athletics,10,Koji Murofushi,JPN,74.82
Hammer Throw men,6th IAAF World Championships In Athletics,11,Raphaël Piolanti,FRA,74.08
