event,event_name,position,athelete,country,mark
400 Metres Hurdles men,7th IAAF World Championships in Athletics,1,Fabrizio Mori,ITA,47.72   WL
400 Metres Hurdles men,7th IAAF World Championships in Athletics,2,Stéphane Diagana,FRA,48.12   SB
400 Metres Hurdles men,7th IAAF World Championships in Athletics,3,Marcel Schelbert,SUI,48.13   NR
400 Metres Hurdles men,7th IAAF World Championships in Athletics,4,Eronilde Nunes de Araújo,BRA,48.13   SB
400 Metres Hurdles men,7th IAAF World Championships in Athletics,5,Pawel Januszewski,POL,48.19   SB
400 Metres Hurdles men,7th IAAF World Championships in Athletics,6,Joey Woody,USA,48.77
400 Metres Hurdles men,7th IAAF World Championships in Athletics,7,Dinsdale Morgan,JAM,48.92
400 Metres Hurdles men,7th IAAF World Championships in Athletics,8,Torrance Zellner,USA,49.06
