event,event_name,position,athelete,country,mark
Long Jump women,1st IAAF World Championships in Athletics,1,Heike Drechsler,GDR,7.27
Long Jump women,1st IAAF World Championships in Athletics,2,Anișoara Cușmir-Stanciu,ROU,7.15
Long Jump women,1st IAAF World Championships in Athletics,3,Carol Lewis,USA,7.04
Long Jump women,1st IAAF World Championships in Athletics,4,Tatyana Proskuryakova,URS,7.02
Long Jump women,1st IAAF World Championships in Athletics,5,Beverly Kinch,GBR,6.93
Long Jump women,1st IAAF World Championships in Athletics,6,Zsuzsa Vanyek,HUN,6.81
Long Jump women,1st IAAF World Championships in Athletics,7,Eva Murková,TCH,6.80
Long Jump women,1st IAAF World Championships in Athletics,8,Robyn Lorraway,AUS,6.65
Long Jump women,1st IAAF World Championships in Athletics,9,Vali Ionescu-Constantin,ROU,6.62
Long Jump women,1st IAAF World Championships in Athletics,10,Jarmila Nygrynova-Strejckova,TCH,6.56
Long Jump women,1st IAAF World Championships in Athletics,11,Jennifer Innis,GUY,6.54
Long Jump women,1st IAAF World Championships in Athletics,12,Helga Radtke,GDR,6.44
