event,event_name,position,athelete,country,mark
Discus Throw men,IAAF World Championships London 2017,1,Andrius Gudžius,LTU,69.21
Discus Throw men,IAAF World Championships London 2017,2,Daniel Ståhl,SWE,69.19
Discus Throw men,IAAF World Championships London 2017,3,Mason Finley,USA,68.03
Discus Throw men,IAAF World Championships London 2017,4,Fedrick Dacres,JAM,65.83
Discus Throw men,IAAF World Championships London 2017,5,Piotr Małachowski,POL,65.24
Discus Throw men,IAAF World Championships London 2017,6,Robert Harting,GER,65.10
Discus Throw men,IAAF World Championships London 2017,7,Robert Urbanek,POL,64.15
Discus Throw men,IAAF World Championships London 2017,8,Traves Smikle,JAM,64.04
Discus Throw men,IAAF World Championships London 2017,9,Lukas Weisshaidinger,AUT,63.76
Discus Throw men,IAAF World Championships London 2017,10,Apostolos Parellis,CYP,63.17
Discus Throw men,IAAF World Championships London 2017,11,Simon Pettersson,SWE,60.39
Discus Throw men,IAAF World Championships London 2017,12,Gerd Kanter,EST,60.00
