event,event_name,position,athelete,country,mark
3000 Metres Steeplechase men,13th IAAF World Championships in Athletics,1,Ezekiel Kemboi,KEN,8:14.85
3000 Metres Steeplechase men,13th IAAF World Championships in Athletics,2,Brimin Kiprop Kipruto,KEN,8:16.05
3000 Metres Steeplechase men,13th IAAF World Championships in Athletics,3,Mahiedine Mekhissi,FRA,8:16.09
3000 Metres Steeplechase men,13th IAAF World Championships in Athletics,4,Bouabdellah Tahri,FRA,8:17.56
3000 Metres Steeplechase men,13th IAAF World Championships in Athletics,5,Roba Gari,ETH,8:18.37
3000 Metres Steeplechase men,13th IAAF World Championships in Athletics,6,Jacob Araptany,UGA,8:18.67
3000 Metres Steeplechase men,13th IAAF World Championships in Athletics,7,Richard Kipkemboi Mateelong,KEN,8:19.31
3000 Metres Steeplechase men,13th IAAF World Championships in Athletics,8,Ivan Lukyanov,MDA,8:19.69  SB
3000 Metres Steeplechase men,13th IAAF World Championships in Athletics,9,Hamid Ezzine,MAR,8:21.97
3000 Metres Steeplechase men,13th IAAF World Championships in Athletics,10,Benjamin Kiplagat,UGA,8:22.21
3000 Metres Steeplechase men,13th IAAF World Championships in Athletics,11,Nahom Mesfin,ETH,8:25.39
3000 Metres Steeplechase men,13th IAAF World Championships in Athletics,12,Vincent Zouaoui-Dandrieux,FRA,8:30.39
3000 Metres Steeplechase men,13th IAAF World Championships in Athletics,13,Ruben Ramolefi,RSA,8:30.47
3000 Metres Steeplechase men,13th IAAF World Championships in Athletics,14,Abraham Kipkirong Chirchir,KEN,8:33.56
3000 Metres Steeplechase men,13th IAAF World Championships in Athletics,15,Alberto Paulo,POR,8:33.84
