event,event_name,position,athelete,country,mark
400 Metres women,14th IAAF World Championships,1,Christine Ohuruogu,GBR,49.41  NR
400 Metres women,14th IAAF World Championships,2,Amantle Montsho,BOT,49.41
400 Metres women,14th IAAF World Championships,3,Stephenie Ann McPherson,JAM,49.99
400 Metres women,14th IAAF World Championships,4,Natasha Hastings,USA,50.30
400 Metres women,14th IAAF World Championships,5,Francena McCorory,USA,50.68
400 Metres women,14th IAAF World Championships,6,Kseniya Ryzhova,RUS,50.98
400 Metres women,14th IAAF World Championships,7,Novlene Williams-Mills,JAM,51.49
