event,event_name,position,athelete,country,mark
Hammer Throw men,15th IAAF World Championships,1,Paweł Fajdek,POL,80.88
Hammer Throw men,15th IAAF World Championships,2,Dilshod Nazarov,TJK,78.55
Hammer Throw men,15th IAAF World Championships,3,Wojciech Nowicki,POL,78.55
Hammer Throw men,15th IAAF World Championships,4,Krisztián Pars,HUN,77.32
Hammer Throw men,15th IAAF World Championships,5,Sergey Litvinov,RUS,77.24
Hammer Throw men,15th IAAF World Championships,6,David Söderberg,FIN,76.92
Hammer Throw men,15th IAAF World Championships,7,Mostafa Elgamel,EGY,76.81
Hammer Throw men,15th IAAF World Championships,8,Marcel Lomnický,SVK,75.79
Hammer Throw men,15th IAAF World Championships,9,Ashraf Amgad El Seify,QAT,74.09
Hammer Throw men,15th IAAF World Championships,10,Tuomas Seppänen,FIN,73.18
Hammer Throw men,15th IAAF World Championships,11,Nick Miller,GBR,72.94
Hammer Throw men,15th IAAF World Championships,12,Roberto Janet,CUB,72.50
