event,event_name,position,athelete,country,mark
Long Jump men,IAAF World Championships London 2017,1,Luvo MANYONGA,RSA,8.48
Long Jump men,IAAF World Championships London 2017,2,Jarrion LAWSON,USA,8.44
Long Jump men,IAAF World Championships London 2017,3,Ruswahl SAMAAI,RSA,8.32
Long Jump men,IAAF World Championships London 2017,4,Aleksandr MENKOV,ANA,8.27
Long Jump men,IAAF World Championships London 2017,5,Maykel MASSÓ,CUB,8.26
Long Jump men,IAAF World Championships London 2017,6,Yuhao Shi,CHN,8.23
Long Jump men,IAAF World Championships London 2017,7,Jianan WANG,CHN,8.23
Long Jump men,IAAF World Championships London 2017,8,Michel Tornéus,SWE,8.18
Long Jump men,IAAF World Championships London 2017,9,Emiliano LASA,URU,8.11
Long Jump men,IAAF World Championships London 2017,10,Radek JUŠKA,CZE,8.02
Long Jump men,IAAF World Championships London 2017,11,Fabrice Lapierre,AUS,7.93
Long Jump men,IAAF World Championships London 2017,12,Damar Forbes,JAM,7.91
