event,event_name,position,athelete,country,mark
400 Metres Hurdles men,"IAAF World Athletics Championships, DOHA 2019",1,Karsten Warholm,NOR,47.42
400 Metres Hurdles men,"IAAF World Athletics Championships, DOHA 2019",2,Rai Benjamin,USA,47.66
400 Metres Hurdles men,"IAAF World Athletics Championships, DOHA 2019",3,Abderrahman Samba,QAT,48.03
400 Metres Hurdles men,"IAAF World Athletics Championships, DOHA 2019",4,Kyron McMaster,IVB,48.10  SB
400 Metres Hurdles men,"IAAF World Athletics Championships, DOHA 2019",5,TJ Holmes,USA,48.20  PB
400 Metres Hurdles men,"IAAF World Athletics Championships, DOHA 2019",6,Yasmani Copello,TUR,48.25  SB
400 Metres Hurdles men,"IAAF World Athletics Championships, DOHA 2019",7,Alison dos Santos,BRA,48.28  PB
400 Metres Hurdles men,"IAAF World Athletics Championships, DOHA 2019",8,Abdelmalik Lahoulou,ALG,49.46
