event,event_name,position,athelete,country,mark
5000 Metres men,9th IAAF World Championships in Athletics,1,Eliud Kipchoge,KEN,12:52.79  CR
5000 Metres men,9th IAAF World Championships in Athletics,2,Hicham El Guerrouj,MAR,12:52.83
5000 Metres men,9th IAAF World Championships in Athletics,3,Kenenisa Bekele,ETH,12:53.12
5000 Metres men,9th IAAF World Championships in Athletics,4,John Kemboi Kibowen,KEN,12:54.07  PB
5000 Metres men,9th IAAF World Championships in Athletics,5,Abraham Chebii,KEN,12:57.74
5000 Metres men,9th IAAF World Championships in Athletics,6,Gebregziabher Gebremariam,ETH,12:58.08  PB
5000 Metres men,9th IAAF World Championships in Athletics,7,Richard Kipkemei Limo,KEN,13:01.13  SB
5000 Metres men,9th IAAF World Championships in Athletics,8,Zersenay Tadese,ERI,13:05.57  NR
5000 Metres men,9th IAAF World Championships in Athletics,9,Juan Carlos de la Ossa,ESP,13:21.04
5000 Metres men,9th IAAF World Championships in Athletics,10,Abderrahim Goumri,MAR,13:23.67
5000 Metres men,9th IAAF World Championships in Athletics,11,Abiyote Abate,ETH,13:23.81
5000 Metres men,9th IAAF World Championships in Athletics,12,Alejandro Suárez,MEX,13:24.51
5000 Metres men,9th IAAF World Championships in Athletics,13,Christian Belz,SUI,13:26.02
5000 Metres men,9th IAAF World Championships in Athletics,14,Mukhlid Alotaibi,KSA,13:38.92
5000 Metres men,9th IAAF World Championships in Athletics,15,Jorge Torres,USA,13:43.37
