event,event_name,position,athelete,country,mark
400 Metres men,7th IAAF World Championships in Athletics,1,Michael Johnson,USA,43.18   WR
400 Metres men,7th IAAF World Championships in Athletics,2,Sanderlei Parrela,BRA,44.29   AR
400 Metres men,7th IAAF World Championships in Athletics,3,Alejandro Manuel Cárdenas,MEX,44.31   NR
400 Metres men,7th IAAF World Championships in Athletics,4,Mark Richardson,GBR,44.65
400 Metres men,7th IAAF World Championships in Athletics,5,Gregory Haughton,JAM,45.07
400 Metres men,7th IAAF World Championships in Athletics,6,Jamie Baulch,GBR,45.18
