event,event_name,position,athelete,country,mark
High Jump women,9th IAAF World Championships in Athletics,1,Hestrie Cloete,RSA,2.06
High Jump women,9th IAAF World Championships in Athletics,2,Marina Kuptsova,RUS,2.00
High Jump women,9th IAAF World Championships in Athletics,3,Kajsa Bergqvist,SWE,2.00
High Jump women,9th IAAF World Championships in Athletics,4,Venelina Veneva-Mateeva,BUL,1.98
High Jump women,9th IAAF World Championships in Athletics,5,Vita Palamar,UKR,1.95
High Jump women,9th IAAF World Championships in Athletics,6,Anna Chicherova,RUS,1.95
High Jump women,9th IAAF World Championships in Athletics,7,Blanka Vlašic,CRO,1.95
High Jump women,9th IAAF World Championships in Athletics,8,Juana Rosario Arrendel,DOM,1.95
High Jump women,9th IAAF World Championships in Athletics,9,Amy Acuff,USA,1.90
High Jump women,9th IAAF World Championships in Athletics,9,Vita Styopina,UKR,1.90
High Jump women,9th IAAF World Championships in Athletics,11,Ruth Beitia,ESP,1.90
High Jump women,9th IAAF World Championships in Athletics,11,Olga Kaliturina,RUS,1.90
