event,event_name,position,athelete,country,mark
"10,000 Metres men",3rd IAAF World Championships in Athletics,1,Moses Tanui,KEN,27:38.74
"10,000 Metres men",3rd IAAF World Championships in Athletics,2,Richard Chelimo,KEN,27:39.41
"10,000 Metres men",3rd IAAF World Championships in Athletics,3,Khalid Skah,MAR,27:41.74
"10,000 Metres men",3rd IAAF World Championships in Athletics,4,Thomas Osano,KEN,27:53.66
"10,000 Metres men",3rd IAAF World Championships in Athletics,5,Richard Nerurkar,GBR,27:57.14
"10,000 Metres men",3rd IAAF World Championships in Athletics,6,Aloÿs Nizigama,BDI,28:03.03
"10,000 Metres men",3rd IAAF World Championships in Athletics,7,Mathias Ntawulikura,RWA,28:10.38
"10,000 Metres men",3rd IAAF World Championships in Athletics,8,Hammou Boutayeb,MAR,28:12.77
"10,000 Metres men",3rd IAAF World Championships in Athletics,9,Alejandro Gómez,ESP,28:13.14
"10,000 Metres men",3rd IAAF World Championships in Athletics,10,Koichi Morishita,JPN,28:13.71
"10,000 Metres men",3rd IAAF World Championships in Athletics,11,Haruo Urata,JPN,28:18.15
"10,000 Metres men",3rd IAAF World Championships in Athletics,12,Stéphane Franke,GER,28:20.00
"10,000 Metres men",3rd IAAF World Championships in Athletics,13,Addis Abebe,ETH,28:33.44
"10,000 Metres men",3rd IAAF World Championships in Athletics,14,Marti ten Kate,NED,28:33.49
"10,000 Metres men",3rd IAAF World Championships in Athletics,15,Eamonn Martin,GBR,28:35.82
"10,000 Metres men",3rd IAAF World Championships in Athletics,16,Andy Bristow,GBR,28:47.01
"10,000 Metres men",3rd IAAF World Championships in Athletics,17,Aaron Ramirez,USA,28:47.56
"10,000 Metres men",3rd IAAF World Championships in Athletics,18,Fernando Couto,POR,28:48.05
"10,000 Metres men",3rd IAAF World Championships in Athletics,19,Katsumi Ikeda,JPN,28:50.25
"10,000 Metres men",3rd IAAF World Championships in Athletics,20,Salvatore Antibo,ITA,28:52.41
