event,event_name,position,athelete,country,mark
Triple Jump women,10th IAAF World Championships in Athletics,1,Trecia Kaye Smith,JAM,15.11
Triple Jump women,10th IAAF World Championships in Athletics,2,Yargeris Savigne,CUB,14.82
Triple Jump women,10th IAAF World Championships in Athletics,3,Anna Pyatykh,RUS,14.78
Triple Jump women,10th IAAF World Championships in Athletics,4,Yamilé Aldama,SUD,14.72
Triple Jump women,10th IAAF World Championships in Athletics,5,Chrysopigi Devetzi,GRE,14.64
Triple Jump women,10th IAAF World Championships in Athletics,6,Kéné Ndoye,SEN,14.47
Triple Jump women,10th IAAF World Championships in Athletics,7,Baya Rahouli,ALG,14.40
Triple Jump women,10th IAAF World Championships in Athletics,8,Magdelín Martínez,ITA,14.31
Triple Jump women,10th IAAF World Championships in Athletics,9,Qiuyan Huang,CHN,14.21
Triple Jump women,10th IAAF World Championships in Athletics,10,Victoria Gurova,RUS,13.96
Triple Jump women,10th IAAF World Championships in Athletics,11,Carlota Castrejana,ESP,13.86
