event,event_name,position,athelete,country,mark
100 Metres men,IAAF World Championships London 2017,1,Justin Gatlin,USA,9.92  SB
100 Metres men,IAAF World Championships London 2017,2,Christian Coleman,USA,9.94
100 Metres men,IAAF World Championships London 2017,3,Usain Bolt,JAM,9.95  SB
100 Metres men,IAAF World Championships London 2017,4,Yohan Blake,JAM,9.99
100 Metres men,IAAF World Championships London 2017,5,Akani Simbine,RSA,10.01
100 Metres men,IAAF World Championships London 2017,6,Jimmy Vicaut,FRA,10.08
100 Metres men,IAAF World Championships London 2017,7,Reece Prescod,GBR,10.17
100 Metres men,IAAF World Championships London 2017,8,Bingtian Su,CHN,10.27
