event,event_name,position,athelete,country,mark
Discus Throw women,3rd IAAF World Championships in Athletics,1,Tsvetanka Khristova,BUL,71.02
Discus Throw women,3rd IAAF World Championships in Athletics,2,Ilke Wyludda,GER,69.12
Discus Throw women,3rd IAAF World Championships in Athletics,3,Larisa Mikhalchenko,URS,68.26
Discus Throw women,3rd IAAF World Championships in Athletics,4,Martina Hellmann,GER,67.14
Discus Throw women,3rd IAAF World Championships in Athletics,5,Daniela Costian,AUS,66.06
Discus Throw women,3rd IAAF World Championships in Athletics,6,Chunfeng Min,CHN,65.56
Discus Throw women,3rd IAAF World Championships in Athletics,7,Iryna Yatchenko,URS,64.92
Discus Throw women,3rd IAAF World Championships in Athletics,8,Yonghua Zhao,CHN,63.62
Discus Throw women,3rd IAAF World Championships in Athletics,9,Ellina Zvereva,URS,63.22
Discus Throw women,3rd IAAF World Championships in Athletics,10,Maritza Martén,CUB,62.40
Discus Throw women,3rd IAAF World Championships in Athletics,11,Yanling Xiao,CHN,61.20
Discus Throw women,3rd IAAF World Championships in Athletics,12,Bárbara Hechavarría,CUB,60.62
