event,event_name,position,athelete,country,mark
Hammer Throw men,3rd IAAF World Championships in Athletics,1,Yuriy Sedykh,URS,81.70
Hammer Throw men,3rd IAAF World Championships in Athletics,2,Igor Astapkovich,URS,80.94
Hammer Throw men,3rd IAAF World Championships in Athletics,3,Heinz Weis,GER,80.44
Hammer Throw men,3rd IAAF World Championships in Athletics,4,Tibor Gécsek,HUN,78.98
Hammer Throw men,3rd IAAF World Championships in Athletics,5,Andrey Abduvaliyev,URS,78.30
Hammer Throw men,3rd IAAF World Championships in Athletics,6,Walter Ciofani,FRA,76.48
Hammer Throw men,3rd IAAF World Championships in Athletics,7,Ken Flax,USA,75.98
Hammer Throw men,3rd IAAF World Championships in Athletics,8,Raphaël Piolanti,FRA,73.64
Hammer Throw men,3rd IAAF World Championships in Athletics,9,Sean Carlin,AUS,73.24
Hammer Throw men,3rd IAAF World Championships in Athletics,10,Claus Dethloff,GER,72.96
Hammer Throw men,3rd IAAF World Championships in Athletics,11,Zhong Bi,CHN,69.50
Hammer Throw men,3rd IAAF World Championships in Athletics,12,Plamen Minev,BUL,68.70
