event,event_name,position,athelete,country,mark
Hammer Throw women,9th IAAF World Championships in Athletics,1,Yipsi Moreno,CUB,73.33
Hammer Throw women,9th IAAF World Championships in Athletics,2,Olga Kuzenkova,RUS,71.71
Hammer Throw women,9th IAAF World Championships in Athletics,3,Manuela Montebrun,FRA,70.92
Hammer Throw women,9th IAAF World Championships in Athletics,4,Yuan Gu,CHN,70.77
Hammer Throw women,9th IAAF World Championships in Athletics,5,Susanne Keil,GER,69.43
Hammer Throw women,9th IAAF World Championships in Athletics,6,Mihaela Melinte,ROU,68.69
Hammer Throw women,9th IAAF World Championships in Athletics,7,Anna Mahon,USA,68.45
Hammer Throw women,9th IAAF World Championships in Athletics,8,Kamila Skolimowska,POL,68.39
Hammer Throw women,9th IAAF World Championships in Athletics,9,Candice Scott,TTO,67.73
Hammer Throw women,9th IAAF World Championships in Athletics,10,Lorraine Shaw,GBR,65.95
Hammer Throw women,9th IAAF World Championships in Athletics,11,Betty Heidler,GER,65.81
