event,event_name,position,athelete,country,mark
800m Wheelchair women,9th IAAF World Championships in Athletics,1,Louise Sauvage,AUS,1:57.15
800m Wheelchair women,9th IAAF World Championships in Athletics,2,Diane Roy,CAN,1:57.72
800m Wheelchair women,9th IAAF World Championships in Athletics,3,Ariadne Hernandez,MEX,1:57.99
800m Wheelchair women,9th IAAF World Championships in Athletics,4,Chantal Petitclerc,CAN,1:58.16
800m Wheelchair women,9th IAAF World Championships in Athletics,5,Edith Hunkeler,SUI,1:58.23
800m Wheelchair women,9th IAAF World Championships in Athletics,6,Cheri Blauwet,USA,1:59.05
800m Wheelchair women,9th IAAF World Championships in Athletics,7,Sandra Graf-Mittelholzer,SUI,2:03.97
800m Wheelchair women,9th IAAF World Championships in Athletics,8,Yvonne Semisch,GER,2:04.34
