event,event_name,position,athelete,country,mark
High Jump women,10th IAAF World Championships in Athletics,1,Kajsa Bergqvist,SWE,2.02
High Jump women,10th IAAF World Championships in Athletics,2,Chaunté Lowe,USA,2.00
High Jump women,10th IAAF World Championships in Athletics,3,Emma Green,SWE,1.96
High Jump women,10th IAAF World Championships in Athletics,4,Anna Chicherova,RUS,1.96
High Jump women,10th IAAF World Championships in Athletics,5,Vita Palamar,UKR,1.93
High Jump women,10th IAAF World Championships in Athletics,6,Tia Hellebaut,BEL,1.93
High Jump women,10th IAAF World Championships in Athletics,7,Vita Styopina,UKR,1.93
High Jump women,10th IAAF World Championships in Athletics,8,Amy Acuff,USA,1.89
High Jump women,10th IAAF World Championships in Athletics,9,Dóra Györffy,HUN,1.89
High Jump women,10th IAAF World Championships in Athletics,10,Venelina Veneva-Mateeva,BUL,1.85
High Jump women,10th IAAF World Championships in Athletics,11,Iva Straková,CZE,1.85
High Jump women,10th IAAF World Championships in Athletics,12,Iryna Mykhalchenko,UKR,1.85
