event,event_name,position,athelete,country,mark
50 Kilometres Race Walk men,14th IAAF World Championships,1,Robert Heffernan,IRL,3:37:56  WL
50 Kilometres Race Walk men,14th IAAF World Championships,2,Jared Tallent,AUS,3:40:03  SB
50 Kilometres Race Walk men,14th IAAF World Championships,3,Ihor HLAVAN,UKR,3:40:39  NR
50 Kilometres Race Walk men,14th IAAF World Championships,4,Matej TÓTH,SVK,3:41:07  SB
50 Kilometres Race Walk men,14th IAAF World Championships,5,Grzegorz Sudol,POL,3:41:20  PB
50 Kilometres Race Walk men,14th IAAF World Championships,6,Ivan Noskov,RUS,3:41:36  PB
50 Kilometres Race Walk men,14th IAAF World Championships,7,Lukasz Nowak,POL,3:43:38  SB
50 Kilometres Race Walk men,14th IAAF World Championships,8,Takayuki Tanii,JPN,3:44:26
50 Kilometres Race Walk men,14th IAAF World Championships,9,Yohann DINIZ,FRA,3:45:18
50 Kilometres Race Walk men,14th IAAF World Championships,10,Hirooki ARAI,JPN,3:45:56  PB
50 Kilometres Race Walk men,14th IAAF World Championships,11,Jesús Ángel GARCÍA,ESP,3:46:44  SB
50 Kilometres Race Walk men,14th IAAF World Championships,12,Serhiy Budza,UKR,3:47:36  PB
50 Kilometres Race Walk men,14th IAAF World Championships,13,Ivan Trotski,BLR,3:47:52  SB
50 Kilometres Race Walk men,14th IAAF World Championships,14,Marco DE LUCA,ITA,3:48:05  SB
50 Kilometres Race Walk men,14th IAAF World Championships,15,Chris Erickson,AUS,3:49:41  PB
50 Kilometres Race Walk men,14th IAAF World Championships,16,Quentin REW,NZL,3:50:27  PB
50 Kilometres Race Walk men,14th IAAF World Championships,17,Claudio Paulino VILLANUEVA FLORES,ESP,3:50:29  PB
50 Kilometres Race Walk men,14th IAAF World Championships,18,Omar Zepeda,MEX,3:50:43  SB
50 Kilometres Race Walk men,14th IAAF World Championships,19,Jarkko KINNUNEN,FIN,3:50:56  SB
50 Kilometres Race Walk men,14th IAAF World Championships,20,Adrian Blocki,POL,3:51:00
50 Kilometres Race Walk men,14th IAAF World Championships,21,Ato Ibañez,SWE,3:53:38  PB
50 Kilometres Race Walk men,14th IAAF World Championships,22,Koichiro Morioka,JPN,3:53:54
50 Kilometres Race Walk men,14th IAAF World Championships,23,Jean Jacques Nkouloukidi,ITA,3:54:00  SB
50 Kilometres Race Walk men,14th IAAF World Championships,24,Brendan BOYCE,IRL,3:54:24  PB
50 Kilometres Race Walk men,14th IAAF World Championships,25,Jianbo Li,CHN,3:56:13
50 Kilometres Race Walk men,14th IAAF World Championships,26,Jonnathan Caceres,ECU,3:56:58  PB
50 Kilometres Race Walk men,14th IAAF World Championships,27,Pedro ISIDRO,POR,3:57:30
50 Kilometres Race Walk men,14th IAAF World Championships,28,Dušan Majdan,SVK,3:57:50  PB
50 Kilometres Race Walk men,14th IAAF World Championships,29,Faguang Xu,CHN,3:57:54  SB
50 Kilometres Race Walk men,14th IAAF World Championships,30,Marc MUNDELL,RSA,3:57:55  SB
50 Kilometres Race Walk men,14th IAAF World Championships,31,Horació NAVA,MEX,3:58:09
50 Kilometres Race Walk men,14th IAAF World Championships,32,Basanta Bahadur Rana,IND,3:58:20  SB
50 Kilometres Race Walk men,14th IAAF World Championships,33,José Ignacio DÍAZ,ESP,3:58:26
50 Kilometres Race Walk men,14th IAAF World Championships,34,Omar Segura,MEX,3:58:34
50 Kilometres Race Walk men,14th IAAF World Championships,35,Evan DUNFEE,CAN,3:59:28  PB
50 Kilometres Race Walk men,14th IAAF World Championships,36,Se-hyun Oh,KOR,4:01:00
50 Kilometres Race Walk men,14th IAAF World Championships,37,Tadas ŠUŠKEVIČIUS,LTU,4:01:29
50 Kilometres Race Walk men,14th IAAF World Championships,38,Andreas Gustafsson,SWE,4:01:40  SB
50 Kilometres Race Walk men,14th IAAF World Championships,39,Marius Iulian COCIORAN,ROU,4:04:23  SB
50 Kilometres Race Walk men,14th IAAF World Championships,40,Veli-Matti PARTANEN,FIN,4:04:59
50 Kilometres Race Walk men,14th IAAF World Championships,41,Teodorico CAPORASO,ITA,4:05:25
50 Kilometres Race Walk men,14th IAAF World Championships,42,Mario José dos Santos,BRA,4:06:12  SB
50 Kilometres Race Walk men,14th IAAF World Championships,43,Xavier Moreno,ECU,4:07:29  SB
50 Kilometres Race Walk men,14th IAAF World Championships,44,Sándor Rácz,HUN,4:12:18
50 Kilometres Race Walk men,14th IAAF World Championships,45,John Nunn,USA,4:34:55  SB
