event,event_name,position,athelete,country,mark
Triple Jump men,14th IAAF World Championships,1,Teddy Tamgho,FRA,18.04
Triple Jump men,14th IAAF World Championships,2,Pedro PICHARDO,CUB,17.68
Triple Jump men,14th IAAF World Championships,3,Will CLAYE,USA,17.52
Triple Jump men,14th IAAF World Championships,4,Christian TAYLOR,USA,17.20
Triple Jump men,14th IAAF World Championships,5,Alexey Fyodorov,RUS,16.90
Triple Jump men,14th IAAF World Championships,6,Marian Oprea,ROU,16.82
Triple Jump men,14th IAAF World Championships,7,Gaëtan Saku Bafuanga Baya,FRA,16.79
Triple Jump men,14th IAAF World Championships,8,Fabrizio Schembri,ITA,16.74
Triple Jump men,14th IAAF World Championships,9,Bin Dong,CHN,16.73
Triple Jump men,14th IAAF World Championships,10,Dimitrios TSIAMIS,GRE,16.66
Triple Jump men,14th IAAF World Championships,11,Samyr Laine,HAI,16.09
Triple Jump men,14th IAAF World Championships,12,Yoann Rapinier,FRA,15.17
