event,event_name,position,athelete,country,mark
100 Metres women,1st IAAF World Championships in Athletics,1,Marlies Göhr,GDR,10.97
100 Metres women,1st IAAF World Championships in Athletics,2,Marita Koch,GDR,11.02
100 Metres women,1st IAAF World Championships in Athletics,3,Diane Williams,USA,11.06
100 Metres women,1st IAAF World Championships in Athletics,4,Merlene Ottey,JAM,11.19
100 Metres women,1st IAAF World Championships in Athletics,5,Angela Bailey,CAN,11.20
100 Metres women,1st IAAF World Championships in Athletics,6,Helinä Marjamaa,FIN,11.24
100 Metres women,1st IAAF World Championships in Athletics,7,Angella Taylor-Issajenko,CAN,11.30
