event,event_name,position,athelete,country,mark
50 Kilometres Race Walk men,IAAF World Championships London 2017,1,Yohann Diniz,FRA,3:33:12  CR
50 Kilometres Race Walk men,IAAF World Championships London 2017,2,Hirooki Arai,JPN,3:41:17  SB
50 Kilometres Race Walk men,IAAF World Championships London 2017,3,Kai Kobayashi,JPN,3:41:19  PB
50 Kilometres Race Walk men,IAAF World Championships London 2017,4,Satoshi Maruo,JPN,3:43:03  PB
50 Kilometres Race Walk men,IAAF World Championships London 2017,5,Máté Helebrandt,HUN,3:43:56  NR
50 Kilometres Race Walk men,IAAF World Championships London 2017,6,Rafał Augustyn,POL,3:44:18  SB
50 Kilometres Race Walk men,IAAF World Championships London 2017,7,Robert Heffernan,IRL,3:44:41  SB
50 Kilometres Race Walk men,IAAF World Championships London 2017,8,Marco De Luca,ITA,3:45:02  SB
50 Kilometres Race Walk men,IAAF World Championships London 2017,9,Carl Dohmann,GER,3:45:21  PB
50 Kilometres Race Walk men,IAAF World Championships London 2017,10,João Vieira,POR,3:45:28  SB
50 Kilometres Race Walk men,IAAF World Championships London 2017,11,Quentin Rew,NZL,3:46:29  NR
50 Kilometres Race Walk men,IAAF World Championships London 2017,12,Karl Junghannß,GER,3:47:01  PB
50 Kilometres Race Walk men,IAAF World Championships London 2017,13,Aleksi Ojala,FIN,3:47:20  SB
50 Kilometres Race Walk men,IAAF World Championships London 2017,14,Evan Dunfee,CAN,3:47:36
50 Kilometres Race Walk men,IAAF World Championships London 2017,15,Horació Nava,MEX,3:47:53  SB
50 Kilometres Race Walk men,IAAF World Championships London 2017,16,José Ignacio Díaz,ESP,3:48:08  PB
50 Kilometres Race Walk men,IAAF World Championships London 2017,17,Claudio Paulino Villanueva Flores,ECU,3:49:27  PB
50 Kilometres Race Walk men,IAAF World Championships London 2017,18,Ivan Banzeruk,UKR,3:49:49
50 Kilometres Race Walk men,IAAF World Championships London 2017,19,Jorge Armando Ruiz,COL,3:50:37  PB
50 Kilometres Race Walk men,IAAF World Championships London 2017,20,José Leyver,MEX,3:51:17
50 Kilometres Race Walk men,IAAF World Championships London 2017,21,Rafał Fedaczyński,POL,3:52:11
50 Kilometres Race Walk men,IAAF World Championships London 2017,22,Jarkko Kinnunen,FIN,3:55:44  SB
50 Kilometres Race Walk men,IAAF World Championships London 2017,23,Adrian Blocki,POL,3:55:49
50 Kilometres Race Walk men,IAAF World Championships London 2017,24,Mathieu Bilodeau,CAN,3:56:54  SB
50 Kilometres Race Walk men,IAAF World Championships London 2017,25,Francisco Arcilla,ESP,3:57:27
50 Kilometres Race Walk men,IAAF World Championships London 2017,26,Maryan Zakalnytskyy,UKR,3:57:29
50 Kilometres Race Walk men,IAAF World Championships London 2017,27,Anders Hansson,SWE,3:58:00  PB
50 Kilometres Race Walk men,IAAF World Championships London 2017,28,Chilsung Park,KOR,3:59:46  SB
50 Kilometres Race Walk men,IAAF World Championships London 2017,29,Wenbin Niu,CHN,4:01:35
50 Kilometres Race Walk men,IAAF World Championships London 2017,30,Narcis Stefan Mihaila,ROU,4:02:27  PB
50 Kilometres Race Walk men,IAAF World Championships London 2017,31,Pedro Isidro,POR,4:02:30
50 Kilometres Race Walk men,IAAF World Championships London 2017,32,Ronal Quispe,BOL,4:08:22  SB
