event,event_name,position,athelete,country,mark
Marathon men,12th IAAF World Championships in Athletics,1,Abel Kirui,KEN,2:06:54  CR
Marathon men,12th IAAF World Championships in Athletics,2,Emmanuel Kipchirchir Mutai,KEN,2:07:48
Marathon men,12th IAAF World Championships in Athletics,3,Tsegaye Kebede,ETH,2:08:35
Marathon men,12th IAAF World Championships in Athletics,4,Yemane Tsegay,ETH,2:08:42
Marathon men,12th IAAF World Championships in Athletics,5,Robert Kipkoech Cheruiyot,KEN,2:10:46  SB
Marathon men,12th IAAF World Championships in Athletics,6,Atsushi Sato,JPN,2:12:05
Marathon men,12th IAAF World Championships in Athletics,7,Adil Annani,MAR,2:12:12
Marathon men,12th IAAF World Championships in Athletics,8,José Manuel Martínez,ESP,2:14:04  SB
Marathon men,12th IAAF World Championships in Athletics,9,José Moreira,POR,2:14:05  PB
Marathon men,12th IAAF World Championships in Athletics,10,Luís Feiteira,POR,2:14:06
Marathon men,12th IAAF World Championships in Athletics,11,Masaya Shimizu,JPN,2:14:06
Marathon men,12th IAAF World Championships in Athletics,12,Norman Dlomo,RSA,2:14:39  SB
Marathon men,12th IAAF World Championships in Athletics,13,Fernando Silva,POR,2:14:48
Marathon men,12th IAAF World Championships in Athletics,14,Satoshi Irifune,JPN,2:14:54  SB
Marathon men,12th IAAF World Championships in Athletics,15,Dejene Yirdaw,ETH,2:15:09
Marathon men,12th IAAF World Championships in Athletics,16,Marilson dos Santos,BRA,2:15:13  SB
Marathon men,12th IAAF World Championships in Athletics,17,Johannes Kekana,RSA,2:15:28  SB
Marathon men,12th IAAF World Championships in Athletics,18,André Pollmächer,GER,2:15:36
Marathon men,12th IAAF World Championships in Athletics,19,Adriano Bastos,BRA,2:15:39  PB
Marathon men,12th IAAF World Championships in Athletics,20,Oleg Kulkov,RUS,2:15:40
Marathon men,12th IAAF World Championships in Athletics,21,Martin Dent,AUS,2:16:05
Marathon men,12th IAAF World Championships in Athletics,22,Coolboy Ngamole,RSA,2:16:20  SB
Marathon men,12th IAAF World Championships in Athletics,23,José de Souza,BRA,2:16:40
Marathon men,12th IAAF World Championships in Athletics,24,Daniel Browne,USA,2:16:49  SB
Marathon men,12th IAAF World Championships in Athletics,25,Reid Coolsaet,CAN,2:16:53  PB
Marathon men,12th IAAF World Championships in Athletics,26,Rachid Kisri,MAR,2:17:01
Marathon men,12th IAAF World Championships in Athletics,27,Yuriy Abramov,RUS,2:17:04
Marathon men,12th IAAF World Championships in Athletics,28,Phaustin Baha Sulle,TAN,2:17:11
Marathon men,12th IAAF World Championships in Athletics,29,Ser-Od BAT-OCHIR,MGL,2:17:22  SB
Marathon men,12th IAAF World Championships in Athletics,30,Andrew Letherby,AUS,2:17:29  SB
Marathon men,12th IAAF World Championships in Athletics,31,Daniel Kipkorir Chepyegon,UGA,2:17:47  SB
Marathon men,12th IAAF World Championships in Athletics,32,Simon Munyutu,FRA,2:17:53  SB
Marathon men,12th IAAF World Championships in Athletics,33,Dylan Wykes,CAN,2:18:00  SB
Marathon men,12th IAAF World Championships in Athletics,34,Martin Beckmann,GER,2:18:08
Marathon men,12th IAAF World Championships in Athletics,35,George Majaji,ZIM,2:18:37  SB
Marathon men,12th IAAF World Championships in Athletics,36,Matt Gabrielson,USA,2:18:41  SB
Marathon men,12th IAAF World Championships in Athletics,37,Alejandro Suárez,MEX,2:18:55
Marathon men,12th IAAF World Championships in Athletics,38,Chia-Che Chang,TPE,2:19:32  SB
Marathon men,12th IAAF World Championships in Athletics,39,Kazuhiro Maeda,JPN,2:19:59
Marathon men,12th IAAF World Championships in Athletics,40,Khalid Kamal Yaseen,BRN,2:20:11
Marathon men,12th IAAF World Championships in Athletics,41,James Kibocha Theuri,FRA,2:20:24
Marathon men,12th IAAF World Championships in Athletics,42,Roman Kejžar,SLO,2:20:25  SB
Marathon men,12th IAAF World Championships in Athletics,43,Song-Chol Pak,PRK,2:21:12
Marathon men,12th IAAF World Championships in Athletics,44,Driss El Himer,FRA,2:21:19
Marathon men,12th IAAF World Championships in Athletics,45,Myongseung Lee,KOR,2:21:54  SB
Marathon men,12th IAAF World Championships in Athletics,46,Mark Tucker,AUS,2:21:57  SB
Marathon men,12th IAAF World Championships in Athletics,47,José Amado García,GUA,2:22:00  SB
Marathon men,12th IAAF World Championships in Athletics,48,Carlos Cordero,MEX,2:22:16
Marathon men,12th IAAF World Championships in Athletics,49,Falk Cierpinski,GER,2:22:36
Marathon men,12th IAAF World Championships in Athletics,50,Hyon U Ri,PRK,2:22:48
Marathon men,12th IAAF World Championships in Athletics,51,Constantino León,PER,2:23:34  SB
Marathon men,12th IAAF World Championships in Athletics,52,Andrew Smith,CAN,2:24:48
Marathon men,12th IAAF World Championships in Athletics,53,Samir Baala,FRA,2:25:12
Marathon men,12th IAAF World Championships in Athletics,54,Juan Gualberto Vargas,MEX,2:25:26
Marathon men,12th IAAF World Championships in Athletics,55,Giitah Macharia,CAN,2:25:40  SB
Marathon men,12th IAAF World Championships in Athletics,56,Getuli Amnaay Bayo,TAN,2:25:52  SB
Marathon men,12th IAAF World Championships in Athletics,57,Scott Westcott,AUS,2:26:02
Marathon men,12th IAAF World Championships in Athletics,58,Nelson Cruz,CPV,2:27:16  SB
Marathon men,12th IAAF World Championships in Athletics,59,Andrea Silvini,TAN,2:28:48
Marathon men,12th IAAF World Championships in Athletics,60,Arata Fujiwara,JPN,2:31:06  SB
Marathon men,12th IAAF World Championships in Athletics,61,Valery Pisarev,KGZ,2:31:32  SB
Marathon men,12th IAAF World Championships in Athletics,62,Nate Jenkins,USA,2:32:16  SB
Marathon men,12th IAAF World Championships in Athletics,63,Wodage Zvadya,ISR,2:34:58
Marathon men,12th IAAF World Championships in Athletics,64,Myong-Ki Lee,KOR,2:35:12
Marathon men,12th IAAF World Championships in Athletics,65,Tobias Sauter,GER,2:35:43
Marathon men,12th IAAF World Championships in Athletics,66,Pedro Nimo,ESP,2:36:39
Marathon men,12th IAAF World Championships in Athletics,67,Tesfayohannes Mesfin,ERI,2:39:51
Marathon men,12th IAAF World Championships in Athletics,68,Geuntae Yook,KOR,2:40:47
Marathon men,12th IAAF World Championships in Athletics,69,Sangay Wangchuk,BHU,2:47:55  NR
