event,event_name,position,athelete,country,mark
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",1,Rui Liang,CHN,4:23:26
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",2,Maocuo Li,CHN,4:26:40
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",3,Eleonora Anna Giorgi,ITA,4:29:13
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",4,Olena Sobchuk,UKR,4:33:38
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",5,Faying Ma,CHN,4:34:56
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",6,Khrystyna Yudkina,UKR,4:36:00
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",7,Magaly Bonilla,ECU,4:37:03
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",8,Júlia Takács,ESP,4:38:20
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",9,Paola Pérez,ECU,4:38:54
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",10,Maria Juárez,ESP,4:39:28
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",11,Masumi Fuchise,JPN,4:41:02
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",12,Nastassia Yatsevich,BLR,4:44:01
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",13,Nadzeya Darazhuk,BLR,4:47:26
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",14,Angeliki Makri,GRE,4:54:09
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",15,Mara Ribeiro,POR,4:58:44
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",16,Elianay Pereira,BRA,5:11:26
50 Kilometres Race Walk women,"IAAF World Athletics Championships, DOHA 2019",17,Katie Burnett,USA,5:23:05
