event,event_name,position,athelete,country,mark
1500 Metres men,5th IAAF World Championships in Athletics,1,Noureddine Morceli,ALG,3:33.73
1500 Metres men,5th IAAF World Championships in Athletics,2,Hicham El Guerrouj,MAR,3:35.28
1500 Metres men,5th IAAF World Championships in Athletics,3,Vénuste Niyongabo,BDI,3:35.56
1500 Metres men,5th IAAF World Championships in Athletics,4,Rachid El Basir,MAR,3:35.96
1500 Metres men,5th IAAF World Championships in Athletics,5,Kevin Sullivan,CAN,3:36.73
1500 Metres men,5th IAAF World Championships in Athletics,6,Abdelkader Chékhémani,FRA,3:36.90
1500 Metres men,5th IAAF World Championships in Athletics,7,Mohamed Suleiman,QAT,3:36.96
1500 Metres men,5th IAAF World Championships in Athletics,8,Fermín Cacho,ESP,3:37.02
1500 Metres men,5th IAAF World Championships in Athletics,9,Gary Lough,GBR,3:37.59
1500 Metres men,5th IAAF World Championships in Athletics,10,Paul McMullen,USA,3:38.23
1500 Metres men,5th IAAF World Championships in Athletics,11,Niall Bruton,IRL,3:39.15
1500 Metres men,5th IAAF World Championships in Athletics,12,Isaac Viciosa,ESP,3:41.12
