event,event_name,position,athelete,country,mark
400 Metres women,15th IAAF World Championships,1,Allyson Felix,USA,49.26  WL
400 Metres women,15th IAAF World Championships,2,Shaunae Miller-Uibo,BAH,49.67  PB
400 Metres women,15th IAAF World Championships,3,Shericka Jackson,JAM,49.99  PB
400 Metres women,15th IAAF World Championships,4,Christine Day,JAM,50.14  PB
400 Metres women,15th IAAF World Championships,5,Stephenie Ann McPherson,JAM,50.42
400 Metres women,15th IAAF World Championships,6,Novlene Williams-Mills,JAM,50.47  SB
400 Metres women,15th IAAF World Championships,7,Phyllis Francis,USA,50.51
400 Metres women,15th IAAF World Championships,8,Christine Ohuruogu,GBR,50.63
