event,event_name,position,athelete,country,mark
High Jump women,IAAF World Championships London 2017,1,Mariya LASITSKENE,ANA,2.03
High Jump women,IAAF World Championships London 2017,2,Yuliya LEVCHENKO,UKR,2.01
High Jump women,IAAF World Championships London 2017,3,Kamila LIĆWINKO,POL,1.99
High Jump women,IAAF World Championships London 2017,4,Marie-Laurence JUNGFLEISCH,GER,1.95
High Jump women,IAAF World Championships London 2017,5,Katarina JOHNSON-THOMPSON,GBR,1.95
High Jump women,IAAF World Championships London 2017,6,Morgan LAKE,GBR,1.95
High Jump women,IAAF World Championships London 2017,7,Mirela DEMIREVA,BUL,1.92
High Jump women,IAAF World Championships London 2017,7,Airinė PALŠYTĖ,LTU,1.92
High Jump women,IAAF World Championships London 2017,9,Inika MCPHERSON,USA,1.92
High Jump women,IAAF World Championships London 2017,10,Vashti CUNNINGHAM,USA,1.92
High Jump women,IAAF World Championships London 2017,11,Michaela HRUBÁ,CZE,1.92
High Jump women,IAAF World Championships London 2017,12,Ruth Beitia,ESP,1.88
