event,event_name,position,athelete,country,mark
Triple Jump women,13th IAAF World Championships in Athletics,1,Olha SALADUKHA,UKR,14.94
Triple Jump women,13th IAAF World Championships in Athletics,2,Olga RYPAKOVA,KAZ,14.89
Triple Jump women,13th IAAF World Championships in Athletics,3,Caterine IBARGUEN,COL,14.84
Triple Jump women,13th IAAF World Championships in Athletics,4,Mabel Gay,CUB,14.67
Triple Jump women,13th IAAF World Championships in Athletics,5,Yamilé Aldama,GBR,14.50
Triple Jump women,13th IAAF World Championships in Athletics,6,Yargeris Savigne,CUB,14.43
Triple Jump women,13th IAAF World Championships in Athletics,7,Anna Krylova,RUS,14.23
Triple Jump women,13th IAAF World Championships in Athletics,8,Baya Rahouli,ALG,14.12
Triple Jump women,13th IAAF World Championships in Athletics,9,Nataliya Yastrebova,UKR,14.12
Triple Jump women,13th IAAF World Championships in Athletics,10,Biljana Topić,SRB,14.03
Triple Jump women,13th IAAF World Championships in Athletics,11,Dana Velďáková,SVK,13.96
Triple Jump women,13th IAAF World Championships in Athletics,12,Keila COSTA,BRA,13.72
