event,event_name,position,athelete,country,mark
Javelin Throw women,7th IAAF World Championships in Athletics,1,Miréla Manjani,GRE,67.09
Javelin Throw women,7th IAAF World Championships in Athletics,2,Tatyana Shikolenko,RUS,66.37
Javelin Throw women,7th IAAF World Championships in Athletics,3,Trine Hattestad,NOR,66.06
Javelin Throw women,7th IAAF World Championships in Athletics,4,Olisdeilys Menéndez,CUB,64.61
Javelin Throw women,7th IAAF World Championships in Athletics,5,Louise Mcpaul-Currey,AUS,64.38
Javelin Throw women,7th IAAF World Championships in Athletics,6,Sonia Bisset,CUB,63.52
Javelin Throw women,7th IAAF World Championships in Athletics,7,Jianhua Wei,CHN,62.97
Javelin Throw women,7th IAAF World Championships in Athletics,8,Oksana Makarova,RUS,62.67
Javelin Throw women,7th IAAF World Championships in Athletics,9,Mikaela Ingberg,FIN,60.48
Javelin Throw women,7th IAAF World Championships in Athletics,10,Taina Kolkkala,FIN,59.83
Javelin Throw women,7th IAAF World Championships in Athletics,11,Felicia Tilea-Moldovan,ROU,59.24
Javelin Throw women,7th IAAF World Championships in Athletics,12,Karen Forkel,GER,54.65
