event,event_name,position,athelete,country,mark
1500 Metres men,15th IAAF World Championships,1,Asbel Kiprop,KEN,3:34.40
1500 Metres men,15th IAAF World Championships,2,Elijah Motonei Manangoi,KEN,3:34.63
1500 Metres men,15th IAAF World Championships,3,Abdelaati Iguider,MAR,3:34.67
1500 Metres men,15th IAAF World Championships,4,Taoufik Makhloufi,ALG,3:34.76
1500 Metres men,15th IAAF World Championships,5,Silas Kiplagat,KEN,3:34.81
1500 Metres men,15th IAAF World Championships,6,Nick Willis,NZL,3:35.46
1500 Metres men,15th IAAF World Championships,7,Timothy Cheruiyot,KEN,3:36.05
1500 Metres men,15th IAAF World Championships,8,Matthew Centrowitz,USA,3:36.13
1500 Metres men,15th IAAF World Championships,9,Charlie Da'Vall Grice,GBR,3:36.21
1500 Metres men,15th IAAF World Championships,10,Leonel Manzano,USA,3:37.26
1500 Metres men,15th IAAF World Championships,11,Robby Andrews,USA,3:38.29
