event,event_name,position,athelete,country,mark
400 Metres men,1st IAAF World Championships in Athletics,1,Bert Cameron,JAM,45.05
400 Metres men,1st IAAF World Championships in Athletics,2,Michael Franks,USA,45.22
400 Metres men,1st IAAF World Championships in Athletics,3,Sunder Nix,USA,45.24
400 Metres men,1st IAAF World Championships in Athletics,4,Erwin Skamrahl,FRG,45.37
400 Metres men,1st IAAF World Championships in Athletics,5,Hartmut Weber,FRG,45.49
400 Metres men,1st IAAF World Championships in Athletics,6,Thomas Schönlebe,GDR,45.50
400 Metres men,1st IAAF World Championships in Athletics,7,Michael Paul,TTO,45.80
400 Metres men,1st IAAF World Championships in Athletics,8,Gerson A. Souza,BRA,45.91
